Ã¯Â»Â¿Domain,Pattern,Digit 1,Digit 2,Digit 3,Significance
771.com,AAB,7,7,1,Pure CHIP (No 4)
772.com,AAB,7,7,2,Pure CHIP (No 4)
773.com,AAB,7,7,3,Pure CHIP (No 4)
775.com,AAB,7,7,5,Pure CHIP (No 4)
776.com,AAB,7,7,6,High-Tier CHIP
777.com,AAA (Solid/Legendary),7,7,7,Pure CHIP (No 4)
778.com,AAB,7,7,8,High-Tier CHIP
779.com,AAB,7,7,9,Pure CHIP (No 4)
780.com,ABC,7,8,0,High-Tier CHIP
781.com,ABC,7,8,1,High-Tier CHIP
782.com,ABC,7,8,2,High-Tier CHIP
783.com,ABC,7,8,3,High-Tier CHIP
785.com,ABC,7,8,5,High-Tier CHIP
786.com,ABC,7,8,6,High-Tier CHIP
787.com,ABA,7,8,7,High-Tier CHIP
788.com,ABB,7,8,8,High-Tier CHIP
789.com,ABC,7,8,9,High-Tier CHIP
790.com,ABC,7,9,0,Pure CHIP (No 4)
791.com,ABC,7,9,1,Pure CHIP (No 4)
792.com,ABC,7,9,2,Pure CHIP (No 4)
793.com,ABC,7,9,3,Pure CHIP (No 4)
795.com,ABC,7,9,5,Pure CHIP (No 4)
796.com,ABC,7,9,6,High-Tier CHIP
797.com,ABA,7,9,7,Pure CHIP (No 4)
798.com,ABC,7,9,8,High-Tier CHIP
799.com,ABB,7,9,9,Pure CHIP (No 4)
800.com,ABB,8,0,0,High-Tier CHIP
801.com,ABC,8,0,1,High-Tier CHIP
802.com,ABC,8,0,2,High-Tier CHIP
803.com,ABC,8,0,3,High-Tier CHIP
805.com,ABC,8,0,5,High-Tier CHIP
806.com,ABC,8,0,6,High-Tier CHIP
807.com,ABC,8,0,7,High-Tier CHIP
808.com,ABA,8,0,8,High-Tier CHIP
809.com,ABC,8,0,9,High-Tier CHIP
810.com,ABC,8,1,0,High-Tier CHIP
811.com,ABB,8,1,1,High-Tier CHIP
812.com,ABC,8,1,2,High-Tier CHIP
813.com,ABC,8,1,3,High-Tier CHIP
815.com,ABC,8,1,5,High-Tier CHIP
816.com,ABC,8,1,6,High-Tier CHIP
817.com,ABC,8,1,7,High-Tier CHIP
818.com,ABA,8,1,8,High-Tier CHIP
819.com,ABC,8,1,9,High-Tier CHIP
820.com,ABC,8,2,0,High-Tier CHIP
821.com,ABC,8,2,1,High-Tier CHIP
822.com,ABB,8,2,2,High-Tier CHIP
823.com,ABC,8,2,3,High-Tier CHIP
825.com,ABC,8,2,5,High-Tier CHIP
826.com,ABC,8,2,6,High-Tier CHIP
827.com,ABC,8,2,7,High-Tier CHIP
828.com,ABA,8,2,8,High-Tier CHIP
829.com,ABC,8,2,9,High-Tier CHIP
830.com,ABC,8,3,0,High-Tier CHIP
831.com,ABC,8,3,1,High-Tier CHIP
832.com,ABC,8,3,2,High-Tier CHIP
833.com,ABB,8,3,3,High-Tier CHIP
835.com,ABC,8,3,5,High-Tier CHIP
836.com,ABC,8,3,6,High-Tier CHIP
837.com,ABC,8,3,7,High-Tier CHIP
838.com,ABA,8,3,8,High-Tier CHIP
839.com,ABC,8,3,9,High-Tier CHIP
850.com,ABC,8,5,0,High-Tier CHIP
851.com,ABC,8,5,1,High-Tier CHIP
852.com,ABC,8,5,2,High-Tier CHIP
853.com,ABC,8,5,3,High-Tier CHIP
855.com,ABB,8,5,5,High-Tier CHIP
856.com,ABC,8,5,6,High-Tier CHIP
857.com,ABC,8,5,7,High-Tier CHIP
858.com,ABA,8,5,8,High-Tier CHIP
859.com,ABC,8,5,9,High-Tier CHIP
860.com,ABC,8,6,0,High-Tier CHIP
861.com,ABC,8,6,1,High-Tier CHIP
862.com,ABC,8,6,2,High-Tier CHIP
863.com,ABC,8,6,3,High-Tier CHIP
865.com,ABC,8,6,5,High-Tier CHIP
866.com,ABB,8,6,6,High-Tier CHIP
867.com,ABC,8,6,7,High-Tier CHIP
868.com,ABA,8,6,8,High-Tier CHIP
869.com,ABC,8,6,9,High-Tier CHIP
870.com,ABC,8,7,0,High-Tier CHIP
871.com,ABC,8,7,1,High-Tier CHIP
872.com,ABC,8,7,2,High-Tier CHIP
873.com,ABC,8,7,3,High-Tier CHIP
875.com,ABC,8,7,5,High-Tier CHIP
876.com,ABC,8,7,6,High-Tier CHIP
877.com,ABB,8,7,7,High-Tier CHIP
878.com,ABA,8,7,8,High-Tier CHIP
879.com,ABC,8,7,9,High-Tier CHIP
880.com,AAB,8,8,0,High-Tier CHIP
881.com,AAB,8,8,1,High-Tier CHIP
882.com,AAB,8,8,2,High-Tier CHIP
883.com,AAB,8,8,3,High-Tier CHIP
885.com,AAB,8,8,5,High-Tier CHIP
886.com,AAB,8,8,6,High-Tier CHIP
887.com,AAB,8,8,7,High-Tier CHIP
888.com,AAA (Solid/Legendary),8,8,8,Ultra-Legendary CHIP (Massive Wealth/Success)
889.com,AAB,8,8,9,High-Tier CHIP
890.com,ABC,8,9,0,High-Tier CHIP
891.com,ABC,8,9,1,High-Tier CHIP
892.com,ABC,8,9,2,High-Tier CHIP
893.com,ABC,8,9,3,High-Tier CHIP
895.com,ABC,8,9,5,High-Tier CHIP
896.com,ABC,8,9,6,High-Tier CHIP
897.com,ABC,8,9,7,High-Tier CHIP
898.com,ABA,8,9,8,High-Tier CHIP
899.com,ABB,8,9,9,High-Tier CHIP
900.com,ABB,9,0,0,Pure CHIP (No 4)
901.com,ABC,9,0,1,Pure CHIP (No 4)
902.com,ABC,9,0,2,Pure CHIP (No 4)
903.com,ABC,9,0,3,Pure CHIP (No 4)
905.com,ABC,9,0,5,Pure CHIP (No 4)
906.com,ABC,9,0,6,High-Tier CHIP
907.com,ABC,9,0,7,Pure CHIP (No 4)
908.com,ABC,9,0,8,High-Tier CHIP
909.com,ABA,9,0,9,Pure CHIP (No 4)
910.com,ABC,9,1,0,Pure CHIP (No 4)
911.com,ABB,9,1,1,Pure CHIP (No 4)
912.com,ABC,9,1,2,Pure CHIP (No 4)
913.com,ABC,9,1,3,Pure CHIP (No 4)
915.com,ABC,9,1,5,Pure CHIP (No 4)
916.com,ABC,9,1,6,High-Tier CHIP
917.com,ABC,9,1,7,Pure CHIP (No 4)
918.com,ABC,9,1,8,High-Tier CHIP
919.com,ABA,9,1,9,Pure CHIP (No 4)
920.com,ABC,9,2,0,Pure CHIP (No 4)
921.com,ABC,9,2,1,Pure CHIP (No 4)
922.com,ABB,9,2,2,Pure CHIP (No 4)
923.com,ABC,9,2,3,Pure CHIP (No 4)
925.com,ABC,9,2,5,Pure CHIP (No 4)
926.com,ABC,9,2,6,High-Tier CHIP
927.com,ABC,9,2,7,Pure CHIP (No 4)
928.com,ABC,9,2,8,High-Tier CHIP
929.com,ABA,9,2,9,Pure CHIP (No 4)
930.com,ABC,9,3,0,Pure CHIP (No 4)
931.com,ABC,9,3,1,Pure CHIP (No 4)
932.com,ABC,9,3,2,Pure CHIP (No 4)
933.com,ABB,9,3,3,Pure CHIP (No 4)
935.com,ABC,9,3,5,Pure CHIP (No 4)
936.com,ABC,9,3,6,High-Tier CHIP
937.com,ABC,9,3,7,Pure CHIP (No 4)
938.com,ABC,9,3,8,High-Tier CHIP
939.com,ABA,9,3,9,Pure CHIP (No 4)
950.com,ABC,9,5,0,Pure CHIP (No 4)
951.com,ABC,9,5,1,Pure CHIP (No 4)
952.com,ABC,9,5,2,Pure CHIP (No 4)
953.com,ABC,9,5,3,Pure CHIP (No 4)
955.com,ABB,9,5,5,Pure CHIP (No 4)
956.com,ABC,9,5,6,High-Tier CHIP
957.com,ABC,9,5,7,Pure CHIP (No 4)
958.com,ABC,9,5,8,High-Tier CHIP
959.com,ABA,9,5,9,Pure CHIP (No 4)
960.com,ABC,9,6,0,High-Tier CHIP
961.com,ABC,9,6,1,High-Tier CHIP
962.com,ABC,9,6,2,High-Tier CHIP
963.com,ABC,9,6,3,High-Tier CHIP
965.com,ABC,9,6,5,High-Tier CHIP
966.com,ABB,9,6,6,High-Tier CHIP
967.com,ABC,9,6,7,High-Tier CHIP
968.com,ABC,9,6,8,High-Tier CHIP
969.com,ABA,9,6,9,High-Tier CHIP
970.com,ABC,9,7,0,Pure CHIP (No 4)
971.com,ABC,9,7,1,Pure CHIP (No 4)
972.com,ABC,9,7,2,Pure CHIP (No 4)
973.com,ABC,9,7,3,Pure CHIP (No 4)
975.com,ABC,9,7,5,Pure CHIP (No 4)
976.com,ABC,9,7,6,High-Tier CHIP
977.com,ABB,9,7,7,Pure CHIP (No 4)
978.com,ABC,9,7,8,High-Tier CHIP
979.com,ABA,9,7,9,Pure CHIP (No 4)
980.com,ABC,9,8,0,High-Tier CHIP
981.com,ABC,9,8,1,High-Tier CHIP
982.com,ABC,9,8,2,High-Tier CHIP
983.com,ABC,9,8,3,High-Tier CHIP
985.com,ABC,9,8,5,High-Tier CHIP
986.com,ABC,9,8,6,High-Tier CHIP
987.com,ABC,9,8,7,High-Tier CHIP
988.com,ABB,9,8,8,High-Tier CHIP
989.com,ABA,9,8,9,High-Tier CHIP
990.com,AAB,9,9,0,Pure CHIP (No 4)
991.com,AAB,9,9,1,Pure CHIP (No 4)
992.com,AAB,9,9,2,Pure CHIP (No 4)
993.com,AAB,9,9,3,Pure CHIP (No 4)
995.com,AAB,9,9,5,Pure CHIP (No 4)
996.com,AAB,9,9,6,High-Tier CHIP
997.com,AAB,9,9,7,Pure CHIP (No 4)
998.com,AAB,9,9,8,High-Tier CHIP
999.com,AAA (Solid/Legendary),9,9,9,Ultra-Legendary CHIP (Massive Wealth/Success)
